person_id,departure_time,from_x,from_y,to_x,to_y,simulated_travel_time,validated_travel_time,simulated_distance,validated_distance
244520,35399.0,335502.485,5703316.800000001,345530.09500000003,5675521.855,1996.0,2182.0,40987.64000000002,40094.0
156121,77301.0,347528.075,5678372.245000001,351143.745,5684729.470000001,884.0,897.0,10227.400000000001,10254.0
185127,60441.0,346247.89,5676386.285,345141.0,5677365.955,610.0,480.0,3948.9,3240.0
123814,74108.0,356300.29000000004,5674345.615,353470.26,5674158.130000001,404.0,495.0,3529.5299999999997,4727.0
226052,71273.0,338497.33,5672912.325,344677.065,5677089.5,1007.0,910.0,10675.740000000002,12868.0
125503,71435.0,354787.33499999996,5672563.875,350597.15,5679387.42,1098.0,933.0,10594.030000000002,10216.0
4900,57676.0,341453.655,5679681.255000001,340556.275,5679013.630000001,212.0,287.0,1999.85,1883.0
136124,75473.0,352679.9,5674461.010000001,357198.79500000004,5675564.705,594.0,733.0,6269.78,7353.0
127540,23616.0,340051.02,5680677.9,339013.855,5677736.125,434.0,524.0,4557.23,4940.0
178693,31211.0,339013.855,5677736.125,339763.43,5677332.835000001,271.0,357.0,2873.33,2260.0
149693,77971.0,343143.375,5677967.67,358524.30500000005,5678917.550000001,1723.0,1536.0,18699.69,24458.0
180115,19563.0,334331.52,5665223.885,345384.18,5683687.27,2023.0,1719.0,27734.530000000002,35636.0
112356,51020.0,355741.16500000004,5671001.595000001,351488.45,5671496.4350000005,754.0,618.0,4835.210000000001,5351.0
267431,45596.0,354880.655,5665584.790000001,353503.08,5667343.605,217.0,229.0,2542.4699999999993,2536.0
252819,29083.0,334433.245,5688274.050000001,348003.49,5678846.44,1555.0,1700.0,20371.74000000001,20892.0
243710,79985.0,346328.80000000005,5675739.630000001,345506.89,5693742.49,1177.0,1369.0,22712.71,22815.0
109233,59478.0,375299.195,5707376.995000001,344606.74,5677493.225000001,2193.0,2533.0,50910.15000000003,49553.0
19707,34108.0,344674.9,5674765.53,334313.79500000004,5683072.745000001,1076.0,1153.0,18122.35,18088.0
248302,48540.0,353727.5,5669947.9,344204.945,5674761.01,917.0,823.0,13145.669999999996,12979.0
62934,67956.0,345602.57,5676724.515000001,343803.655,5680107.225000001,527.0,612.0,4180.070000000001,5205.0
273344,53142.0,344432.33,5682782.15,354540.815,5664665.0200000005,1927.0,1822.0,28245.529999999995,26466.0
88513,68562.0,358254.015,5703225.415000001,339752.5,5677912.665,2066.0,2209.0,38280.389999999985,39628.0
38498,52533.0,344321.17500000005,5700950.91,340570.65,5679301.380000001,1800.0,1806.0,30227.63,31965.0
270073,47747.0,342811.97,5676660.855,348660.77,5662722.995,2008.0,1707.0,20546.920000000002,20050.0
188432,43123.0,345069.10000000003,5678569.370000001,343126.33,5675978.1450000005,395.0,533.0,4712.990000000001,4532.0
122816,46583.0,347204.725,5673875.025,352167.01,5675333.175000001,763.0,766.0,7195.469999999998,6840.0
182130,31210.0,346312.605,5659524.26,346172.645,5678683.92,1979.0,1827.0,23460.090000000007,27977.0
253265,63675.0,340205.495,5678517.960000001,334571.265,5693811.32,1202.0,1342.0,28973.040000000005,24529.0
102712,69842.0,356910.435,5664678.100000001,353031.73,5667461.105,607.0,643.0,6308.39,6239.0
105946,54918.0,356946.57,5664198.32,351022.265,5670085.625,815.0,1072.0,9720.290000000003,10512.0
203114,37878.0,401420.625,5710206.75,346145.95499999996,5683883.790000001,3041.0,3388.0,70913.65000000005,73376.0
236095,61242.0,344332.12,5673640.33,340724.065,5702996.66,2535.0,2511.0,37994.09000000003,48239.0
29527,29466.0,349234.54000000004,5674228.850000001,349853.69,5679412.285,891.0,1077.0,8536.130000000001,8611.0
222943,79893.0,361652.315,5716436.27,344311.495,5682714.565,1848.0,2136.0,50691.03000000002,50196.0
206345,24171.0,380956.0,5709220.44,344967.29000000004,5678760.180000001,2851.0,2694.0,55315.39000000004,54151.0
172285,70273.0,338813.385,5673023.83,343559.185,5677767.5600000005,924.0,828.0,11152.710000000006,9627.0
61889,36240.0,344776.08,5677052.635,345511.51,5677323.125,186.0,262.0,1375.34,1916.0
138800,66850.0,346069.325,5681500.1850000005,350616.455,5671653.3100000005,1685.0,1461.0,13106.979999999998,12684.0
263100,60830.0,340746.69999999995,5678283.945,351987.91000000003,5654038.045,2816.0,2001.0,33655.37,41958.0
158333,35001.0,344293.53,5683126.625,351758.81500000006,5698073.74,1107.0,1234.0,19448.4,19597.0
105746,48830.0,354585.875,5665411.545,353754.815,5667156.75,240.0,260.0,2712.1399999999994,2432.0
159131,83217.0,344699.095,5677442.695,348363.49,5690570.640000001,937.0,1093.0,19586.42,18925.0
273564,64537.0,348067.985,5678533.210000001,370922.58499999996,5676488.325000001,2376.0,1910.0,28744.95999999998,29021.0
143249,37574.0,345670.445,5673158.845000001,345336.315,5675475.555000001,340.0,469.0,2864.5199999999995,3739.0
47023,64904.0,344475.635,5679945.140000001,347389.49,5679471.99,501.0,500.0,4342.099999999999,4889.0
114512,50952.0,342265.13,5676455.775,346203.07,5677201.875,833.0,933.0,7181.009999999999,6858.0
214774,53486.0,343476.44999999995,5681084.94,344488.465,5679642.9,148.0,169.0,2434.31,2407.0
167044,49467.0,346176.695,5677000.16,345315.125,5678247.245000001,336.0,242.0,1763.7999999999997,1636.0
108190,24544.0,352149.95499999996,5670343.885,344923.35,5678074.98,1858.0,1150.0,14959.970000000003,14261.0
255501,47715.0,344812.135,5675318.155,345981.11,5678284.9350000005,736.0,597.0,3929.6000000000004,3802.0
189528,47877.0,346567.995,5675858.915,341512.27,5678565.9350000005,701.0,778.0,7113.540000000001,7189.0
94824,50806.0,347644.78,5672716.28,367582.98,5678377.180000001,944.0,1293.0,24095.200000000004,23716.0
253420,65446.0,342350.695,5677839.51,337257.04500000004,5680988.835000001,842.0,0.0,6896.950000000002,0.0
118300,62595.0,349248.725,5677230.495000001,355788.77,5671508.335000001,1256.0,1234.0,10869.039999999999,11409.0
173092,21897.0,338420.91000000003,5671163.325000001,344244.995,5683011.1450000005,1663.0,1252.0,18457.09999999999,27548.0
11312,49446.0,344965.12,5674629.550000001,358909.965,5655617.52,1135.0,1337.0,28576.04000000001,28478.0
148615,30448.0,352764.94,5660455.445,348299.935,5678898.895,1988.0,1825.0,27470.250000000015,26728.0
39230,61463.0,355014.95,5643479.995,346591.08,5676054.950000001,1894.0,2203.0,40188.91000000002,39999.0
262021,66460.0,342995.895,5677593.915000001,357421.47,5648544.155,2292.0,2182.0,40639.41000000002,41479.0
195656,47176.0,345767.105,5678030.850000001,345808.28,5676958.32,218.0,213.0,1557.2099999999998,1429.0
129736,49980.0,338591.98,5680802.93,344725.36,5678214.34,908.0,1050.0,9942.16,10766.0
244878,69400.0,344511.83999999997,5676655.955,335373.95999999996,5702860.050000001,1679.0,0.0,37364.989999999976,0.0
177556,44651.0,343710.79000000004,5675262.225000001,344923.01,5675463.790000001,333.0,310.0,1611.3799999999999,1583.0
48325,72267.0,370210.355,5679644.015000001,347312.815,5674310.305000001,1202.0,1264.0,26568.510000000002,26532.0
149687,56825.0,357381.54500000004,5679094.535,345276.325,5676193.385,1596.0,1693.0,16961.019999999993,25243.0
158019,62591.0,343195.53,5682659.52,352719.53500000003,5687108.5200000005,1232.0,1158.0,13927.459999999995,15091.0
208327,25575.0,362139.075,5700786.715000001,344405.3150664292,5676401.857159144,2104.0,1711.0,36850.13999999999,36191.0
91118,78131.0,345728.04500000004,5679812.645,346391.70999999996,5671580.505000001,990.0,950.0,11810.539999999999,10113.0
109234,23242.0,350631.62,5670291.615,356461.485,5670962.865,604.0,641.0,6812.79,6679.0
30660,43407.0,349070.73,5674099.865,356584.25,5663451.960000001,839.0,998.0,16677.99,16764.0
220077,61946.0,343234.18000000005,5675833.215,371273.645,5718247.880000001,4038.0,3590.0,64748.45999999997,70662.0
198146,66259.0,346271.795,5672613.98,363370.255,5669998.970000001,1680.0,1790.0,23799.380000000005,28208.0
86773,70414.0,331911.18500000006,5686409.1,342721.23,5678119.460000001,1116.0,1037.0,19867.170000000006,20648.0
169218,36519.0,335691.62,5677749.970000001,345043.865,5677186.925000001,1101.0,1135.0,12603.560000000001,16222.0
123225,56168.0,355396.01,5670414.765000001,352644.565,5674864.015000001,779.0,782.0,6166.1900000000005,6587.0
59702,38231.0,344298.27,5674030.525,351425.28500000003,5690833.48,1471.0,1487.0,21498.919999999995,23257.0
175879,45427.0,348681.325,5671145.540000001,342210.935,5672022.905000001,662.0,787.0,11986.170000000004,11802.0
32492,40566.0,348422.83,5681697.195,345686.635,5681588.120000001,489.0,578.0,4430.299999999999,4733.0
47570,30380.0,345777.89,5679339.445,375921.32,5704843.315,1877.0,2292.0,47248.19999999995,45462.0
110462,36973.0,351032.44,5672619.33,351362.495,5650349.995,1254.0,1467.0,30463.130000000016,31095.0
210663,54597.0,360019.42,5700398.765000001,347387.965,5677820.69,1461.0,1650.0,30194.320000000007,29796.0
45373,20290.0,347755.06,5678782.195,357812.30000000005,5645840.0,2422.0,2398.0,40575.359999999986,42166.0
14991,65458.0,343718.76,5675078.375,345688.16500000004,5677190.3950000005,578.0,658.0,4103.6900000000005,4688.0
28772,35888.0,347170.68000000005,5676266.07,346861.31,5675986.3100000005,202.0,208.0,1216.2300000000002,1163.0
171014,59236.0,342773.57499999995,5677746.380000001,343126.33,5675978.1450000005,439.0,410.0,4230.830000000001,3756.0
127180,43772.0,341887.30000000005,5678928.5,339177.03500000003,5678844.1850000005,317.0,346.0,3692.21,3564.0
