Iteration	bike_travel	bike_wait	car_travel	car_wait	freight_travel	freight_wait	pt_travel	pt_wait	ride_travel	ride_wait	stageActivity_travel	stageActivity_wait	walk_travel	walk_wait
154	23507	0	169343	0	35104	0	81465	21905	33075	0	0	0	113112	0
155	23507	0	169638	0	35072	0	81459	21847	33083	0	0	0	113098	0
156	23507	0	164635	0	34841	0	81422	21913	33049	0	0	0	113043	0
157	23506	0	163948	0	34857	0	81437	22009	33064	0	0	0	113040	0
158	23506	0	170476	0	35086	0	81449	21933	33054	0	0	0	113074	0
159	23508	0	165563	0	34823	0	81437	21796	33084	0	0	0	113086	0
160	23507	0	165487	0	34821	0	81447	21930	33032	0	0	0	113097	0
161	23506	0	170982	0	35034	0	81429	21888	33052	0	0	0	113085	0
162	23506	0	168366	0	34704	0	81434	21957	33029	0	0	0	113093	0
163	23507	0	170217	0	34891	0	81443	21730	32969	0	0	0	113083	0
164	23507	0	166705	0	34824	0	81426	22097	32996	0	0	0	113068	0
165	23506	0	169140	0	34850	0	81425	21945	32972	0	0	0	113081	0
166	23507	0	162625	0	34600	0	81424	21791	32988	0	0	0	113061	0
167	23507	0	161598	0	34553	0	81439	21786	32946	0	0	0	113074	0
168	23501	0	159440	0	34545	0	81440	21788	32962	0	0	0	113056	0
169	23508	0	158239	0	34508	0	81430	21811	32918	0	0	0	113049	0
170	23507	0	160537	0	34624	0	81421	21916	32890	0	0	0	113048	0
171	23505	0	165562	0	34927	0	81410	21855	32910	0	0	0	113041	0
172	23507	0	174599	0	35143	0	81430	21817	32910	0	0	0	113079	0
173	23507	0	164408	0	34581	0	81417	21848	32897	0	0	0	113038	0
174	23506	0	159745	0	34396	0	81432	21854	32859	0	0	0	113045	0
175	23507	0	156812	0	34353	0	81436	21876	32865	0	0	0	113075	0
176	23507	0	163960	0	34493	0	81448	21905	32841	0	0	0	113069	0
177	23507	0	165845	0	34587	0	81434	21842	32832	0	0	0	113043	0
178	23506	0	160001	0	34424	0	81437	21907	32828	0	0	0	113096	0
179	23507	0	161435	0	34571	0	81435	21835	32797	0	0	0	113063	0
180	23507	0	159209	0	34431	0	81421	21925	32790	0	0	0	113048	0
181	23507	0	157306	0	34303	0	81422	21822	32763	0	0	0	113064	0
182	23507	0	156029	0	34179	0	81428	21845	32753	0	0	0	113048	0
183	23507	0	156156	0	34220	0	81440	21788	32765	0	0	0	113051	0
184	23506	0	155415	0	34101	0	81438	21893	32735	0	0	0	113085	0
